,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Health Center Service Delivery Site Location Setting Description,Health Center Location Type Description,Health Center Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate
16074,Mission City Community Network - Wilshire,3660 Wilshire Blvd STE 102,Los Angeles,CA,90010-2716,818-895-3100,www.mccn.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.30499203,34.06169919
16075,Valley Health- Teays Pediatrics,111 Great Teays Blvd,Scott Depot,WV,25560-9548,304-757-8459,,All Other Clinic Types,Permanent,Service Delivery Site,-81.93642981,38.45155686
16077,SANDERSVILLE COMMUNITY HLTH CTR,616 Ferncrest Dr,Sandersville,GA,31082-1863,478-552-1620 x3001,www.chcsga.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.80560861,32.9978242
16078,UCNW 1616 Cornwall Avenue,1616 Cornwall Ave,Bellingham,WA,98225-4648,360-676-6177,www.unitycarenw.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.47507193,48.75358746
16079,HAN MEDWAY ,1930 Medway Rd,Medway,ME,04460-3166,207-794-6700,www.hanfqhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-68.52632501,45.61091817
16080,RMC Greenbrier Nephrology Center,289 Dawkins Dr,Lewisburg,WV,24901-9674,304-438-6188,,All Other Clinic Types,Permanent,Service Delivery Site,-80.4758691,37.76482099
16082,GraceMed Helen Galloway Family Clinic,1122 N Topeka St,Wichita,KS,67214-2810,316-866-2000,www.gracemed.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-97.33426355,37.70324078
16084,Southern Missouri Community Health Center West Plains Clinic,1137 Independence Dr,West Plains,MO,65775-4221,417-255-8464,http://www.smchc.org/,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-91.86975091,36.74503712
16087,Prineville Health Center,375 NW Beaver St STE 101,Prineville,OR,97754-1802,541-383-3005,www.mosaicmedical.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-120.84836186,44.30353712
16088,501 Supportive Services Center,501 S Atlantic Blvd,Los Angeles,CA,90022-2621,323-268-9191,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-118.15532117,34.02699002
16090,Alivio Medical Center at Berwyn,6447 Cermak Rd,Berwyn,IL,60402-2311,773-254-1400,www.aliviomedicalcenter.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-87.78559803,41.85059252
16091,The Chautauqua Center - Forestville,10988 Bennett State Rd,Forestville,NY,14062-9714,716-363-6050,,All Other Clinic Types,Permanent,Service Delivery Site,-79.1683383,42.47855247
16093,Rogue Main St Dental,922 E Main St,Medford,OR,97504-7136,541-842-7706,,All Other Clinic Types,Permanent,Service Delivery Site,-122.86196289,42.32784459
16094,Family Healthcare Zion Canyon Clinic,120 Lion Blvd,Springdale,UT,84767-7724,801-986-2565,,All Other Clinic Types,Permanent,Service Delivery Site,-112.9979348,37.19479177
16095,MARGARET J. WESTON HEALTH CENTER,4645 Augusta Rd,Clearwater,SC,29842-7265,803-593-9283,www.ruralhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.89742722,33.49442979
16096,OPSAM HEALTH: 2835 Highland,2835 Highland Ave,National City,CA,91950-7404,844-200-2426,www.opsam.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.09165254,32.66001954
16098,Partnership Health Center at the Missoula Food Bank and Community Center,1720 Wyoming St STE 201,Missoula,MT,59801-1526,406-258-4789,partnershiphealthcenter.com,All Other Clinic Types,Permanent,Service Delivery Site,-114.02324298,46.87198753
16100,Hamilton Homeless Clinic,812 Root St FL 2,Flint,MI,48503-1516,810-406-4246,,All Other Clinic Types,Permanent,Service Delivery Site,-83.69591165,43.02316529
16102,Sixteenth Street Community Health Centers-UCC Senior Center,730 W Washington St,Milwaukee,WI,53204-2310,414-672-1353,,All Other Clinic Types,Permanent,Service Delivery Site,-87.92054198,43.02013527
16104,SIHF Healthcare – Bethalto,2 Terminal Dr STE 8,East Alton,IL,62024-2294,618-258-0485,www.sihf.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.05779642,38.88761837
16108,Our House Behavioral Health Therapeutic Center,309 E Wardell Dr STE A,Pembroke,NC,28372-7998,910-521-1464,,All Other Clinic Types,Permanent,Service Delivery Site,-79.18293264,34.68493783
16109,J.C. Lewis Primary Health Care Center,5 Mall Anx,Savannah,GA,31406-4738,912-495-8887,www.jclewishealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.11973865,32.00123976
16110,Neighborhood Health South County Dental,8350 Richmond Hwy STE 233,Alexandria,VA,22309-2344,703-535-5568,,All Other Clinic Types,Permanent,Service Delivery Site,-77.1041203,38.73150492
16117,West End Health Center,5050 W Colfax Ave,Denver,CO,80204-1015,303-312-9750,,All Other Clinic Types,Permanent,Service Delivery Site,-105.05182203,39.74029245
16118,Cathedral Kitchen Satellite Site,1514 Federal St,Camden,NJ,08105-1712,856-968-2320,,All Other Clinic Types,Permanent,Service Delivery Site,-75.10230666,39.94425005
16119,Hope Family Health Services-Pediatrics,420 Tom Frazier Way,Salyersville,KY,41465,606-349-5126,,All Other Clinic Types,Permanent,Service Delivery Site,-83.0558847,37.7559089
16120,Douglas Family Health,1309 Ocilla Rd,Douglas,GA,31533-2209,912-384-2252,,All Other Clinic Types,Permanent,Service Delivery Site,-82.86675526,31.51082139
16122,PrimaryOne Health 3433 Agler Road,3433 Agler Rd STE 2800,Columbus,OH,43219-3389,614-645-1600,www.primaryonehealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-82.91968388,40.02065563
16124,Family Medical Clinic,326 N Hood St,Lake Providence,LA,71254-2140,318-559-4024,https://www.ecphospital.com/,All Other Clinic Types,Permanent,Service Delivery Site,-91.17186095,32.81000415
16125,AtlantiCare Health Services- FQHC Family Medicine Residency Clinic,7 S Ohio Ave,Atlantic City,NJ,08401-6711,609-572-8800,https://www.atlanticare.org/services/federally-qualified-health-center/,All Other Clinic Types,Permanent,Service Delivery Site,-74.43403445,39.35919325
16132,All Inclusive Support Services,736 State St,Springfield,MA,01109-4110,413-781-2050 x8300,,All Other Clinic Types,Permanent,Service Delivery Site,-72.56756868,42.11092923
16133,"San Luis Health Center, Ernesto Pacheco Dental Clinic, or San Luis Physical Therapy and Rehabilitation",233 Main St STE B,San Luis,CO,81152-5095,719-672-3352,www.vwhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-105.42743964,37.19723406
16134,ALLAKAKET HEALTH CLINIC,Main Rd,Allakaket,AK,99720,907-452-8251,www.tananachiefs.org,All Other Clinic Types,Permanent,Service Delivery Site,-152.64324764,66.56010675
16135,South Albany Medical Center,1300 Newton Rd,Albany,GA,31701-3424,229-431-3120,www.aaphc.org,All Other Clinic Types,Permanent,Service Delivery Site,-84.16343719,31.56164175
16137,HomePlace Clinic - Paintsville,838 S Mayo Trl,Paintsville,KY,41240-1384,606-788-1345,,All Other Clinic Types,Permanent,Service Delivery Site,-82.79818702,37.80583612
16139,ALL ANGELS CHURCH,251 W 80th St,New York,NY,10024-5743,212-362-9300,allangelschurch.org,All Other Clinic Types,Permanent,Service Delivery Site,-73.98005373,40.78487959
16140,Program for All-Inclusive Care for the Elderly (PACE) Site,9 Buffum St,Lynn,MA,01902-3965,781-722-0040,http://www.lchcnet.org/AboutUs/,All Other Clinic Types,Permanent,Service Delivery Site,-70.94341535,42.46559287
16141,Mary Eliza Mahoney Health Center,394 University Ave,Newark,NJ,07102-1221,800-734-7083,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-74.17762479,40.73409956
16145,GOSHEN MEDICAL CENTER - DUPLIN,214 Duplin St,Kenansville,NC,28349-9024,910-296-1811,,All Other Clinic Types,Permanent,Service Delivery Site,-77.96221077,34.96404568
16147,Lone Star Circle of Care at Bastrop,605 Old Austin Hwy,Bastrop,TX,78602-5034,877-800-5722,www.lonestarcares.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.33816499,30.11100752
16148,Harwich Port Health Center,710 Route 28,Harwich Port,MA,02646,508-905-2800,www.outercape.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-70.06030239,41.67066684
16149,Sun River Health Amityville,1080 Sunrise Hwy,Amityville,NY,11701-2526,631-716-9026,,All Other Clinic Types,Permanent,Service Delivery Site,-73.41075235,40.68951989
16151,Cedar Court Clinic,1340 Cedar Ct,Carbondale,IL,62901-5336,618-457-7821,www.chesi.org,All Other Clinic Types,Permanent,Service Delivery Site,-89.25336092,37.74023624
16152,Healthy Connections - Sheridan,1409 S Rock St STE D,Sheridan,AR,72150-7180,479-437-3449,,All Other Clinic Types,Permanent,Service Delivery Site,-92.39952878,34.2893456
16153,Star Community Health Dental - Bethlehem,511 E 3rd St STE 260,Bethlehem,PA,18015-2072,484-526-2460,starcommunityhealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-75.37162576,40.61219168
16154,Blue Ridge Health-Meridian Broadview,307 Broadview Rd,Waynesville,NC,28786-3466,828-452-9258,,All Other Clinic Types,Permanent,Service Delivery Site,-82.97301542,35.49547217
16162,"Community Health Center of Cape Cod, Falmouth Pharmacy",200 Jones Rd,Falmouth,MA,02540-4900,508-477-7090 x7090,www.chcofcapecod.org,All Other Clinic Types,Permanent,Service Delivery Site,-70.61186666,41.56175369
16163,219 Health Network Inc.,3800 Saint Mary Rd STE 203,Valparaiso,IN,46383-3986,219-947-6713,www.219health.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.019795,41.50105601
16166,"Chiricahua Community Health Centers, Inc. Sierra Vista Pediatrics",155 Calle Portal,Sierra Vista,AZ,85635-2900,520-459-0203,www.cchci.org,All Other Clinic Types,Permanent,Service Delivery Site,-110.26695241,31.55241047
16167,CALIFORNIA FAMILY PRACTICE,1152 Wood St,California,PA,15419-1260,724-938-2122,www.centervilleclinics.com,All Other Clinic Types,Permanent,Service Delivery Site,-79.89579404,40.05919583
16168,TFHC#15 - OSHC,4620 N 22nd St,Tampa,FL,33610-6205,813-272-6240,,All Other Clinic Types,Permanent,Service Delivery Site,-82.43476153,27.98842008
16169,"REGIONAL HEALTH CARE CLINIC, INC., dba Katy Trail Community Health",821 Westwood Dr,Sedalia,MO,65301-2102,660-826-4774 x25,katyhealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-93.27293206,38.70909959
16170,SOUTH SAN FRANCISCO CLINIC,306 Spruce Ave,South San Francisco,CA,94080-2741,650-877-7070,www.co.sanmateo.ca.us,All Other Clinic Types,Permanent,Service Delivery Site,-122.4158894,37.65671305
16171,MAP @ Garredd II,1115 Garredd Blvd,Augusta,GA,30909-6758,706-790-4440,mapbt.com,All Other Clinic Types,Permanent,Service Delivery Site,-82.09755346,33.48713368
16172,MBCHC North Suite 309,11645 Biscayne Blvd STE 309,Miami,FL,33181-3139,305-538-8835,,All Other Clinic Types,Permanent,Service Delivery Site,-80.16573784,25.88311185
16174,Johnson Health Center - Lynchburg Women's and Pediatric Health Services,2402 Atherholt Rd,Lynchburg,VA,24501-2148,434-455-3275,www.jhcvirginia.org,All Other Clinic Types,Permanent,Service Delivery Site,-79.17506378,37.40931703
16176,Neighborhood Healthcare ~ Mobile Dental Health Services #2,25260 N Centre City Pkwy Spc G030,Escondido,CA,92026-8628,760-520-8300,,All Other Clinic Types,Permanent,Service Delivery Site,-117.10639648,33.17044811
16177,Community Clinic of Maui,1881 Nani St,Wailuku,HI,96793-1811,808-871-7772,www.ccmaui.org,All Other Clinic Types,Permanent,Service Delivery Site,-156.49977727,20.88890229
16178,Venice Family Clinic - Gardena Health Center,742 W Gardena Blvd,Gardena,CA,90247-5024,310-802-6177,,All Other Clinic Types,Permanent,Service Delivery Site,-118.28851422,33.88164354
16179,Santa Clara Valley Dentalcare - Mountain View El Camino Real,2486 W El Camino Real,Mountain View,CA,94040-1421,408-373-7354,,All Other Clinic Types,Permanent,Service Delivery Site,-122.10955465,37.39922752
16180,Genesis PrimeCare Family Clinic Marshall  # 3,705 S Grove St,Marshall,TX,75670-5220,903-938-1146,,All Other Clinic Types,Permanent,Service Delivery Site,-94.37181231,32.53783788
16181,Coastal Health & Wellness - Galveston,4700 Broadway St STE 100,Galveston,TX,77551-4241,409-938-2401,www.coastalhw.org,All Other Clinic Types,Permanent,Service Delivery Site,-94.81954809,29.29301506
16183,YourTown Health,643 Main St,Palmetto,GA,30268-1138,770-463-4644,www.yourtownhealth.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-84.66370136,33.52638119
16185,Sea Mar CHC - Battle Ground,118 S Parkway Ave,Battle Ground,WA,98604-9215,206-763-5277,,All Other Clinic Types,Permanent,Service Delivery Site,-122.53789236,45.77942758
16186,HWC - Stigler,1505 E Main St,Stigler,OK,74462-2804,918-967-3368 x18859,,All Other Clinic Types,Permanent,Service Delivery Site,-95.10652837,35.25693972
16187,CHCCMO - California Clinic,606 E Buchanan St,California,MO,65018-1910,573-632-2777,,All Other Clinic Types,Permanent,Service Delivery Site,-92.5616891,38.62746061
16188,AZA HEALTH,1425 Dunn Ave,Daytona Beach,FL,32114-1437,386-323-9600,WWW.AZAHEALTH.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-81.05931678,29.20560989
16191,Family HealthCare Network - Fresno Shields,3505 E Shields Ave,Fresno,CA,93726-6910,877-960-3426,www.fhcn.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.76620821,36.77978987
16192,HealthPoint Caldwell,1103 Woodson Dr,Caldwell,TX,77836-1052,979-567-7080,,All Other Clinic Types,Permanent,Service Delivery Site,-96.71747827,30.51994167
16193,Kintegra Behavioral Health - Riverwood,3050 Riverwood Pkwy STE B,Gastonia,NC,28056-6002,704-874-9005,www.kintegra.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.17007198,35.2155656
16194,Cheney Health Center,1720 2nd St,Cheney,WA,99004-1910,509-444-8200,www.chas.org,All Other Clinic Types,Permanent,Service Delivery Site,-117.56511205,47.49715417
16195,CROSS TRAILS MEDICAL CENTER,109 State Highway 51 N,Marble Hill,MO,63764-9151,573-238-2725,www.crosstrails.us,All Other Clinic Types,Permanent,Service Delivery Site,-89.97843038,37.3074124
16197,South Central Medical and Resource Center,216 S Main St,Lindsay,OK,73052-5634,405-756-1414,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-97.60284613,34.83519844
16199,Healthy Connections - West Central,4511 John Barrow Rd,Little Rock,AR,72204,479-437-3449,,All Other Clinic Types,Permanent,Service Delivery Site,-92.37320677,34.71250338
16200,Genesis PrimeCare-Atlanta,1011 S William St,Atlanta,TX,75551-3245,903-796-2868,,All Other Clinic Types,Permanent,Service Delivery Site,-94.16549252,33.10549188
16201,WILLLIAM B. ACREE CLINIC,130 N Main St,Ridgely,TN,38080-1317,731-264-5518,www.clchc.com,All Other Clinic Types,Permanent,Service Delivery Site,-89.48748547,36.26450169
16204,BOSTON MOUNTAIN RURAL HEALTH CENTER,2263 Highway 65 N,Marshall,AR,72650-7660,870-448-5733,www.bmrhc.net,All Other Clinic Types,Permanent,Service Delivery Site,-92.66344357,35.90822586
16206,EXCELth Family Health Center - Algiers,4422 General Meyer Ave STE 103,New Orleans,LA,70131-4330,504-526-1179,www.excelth.com,All Other Clinic Types,Permanent,Service Delivery Site,-90.00959111,29.93482163
16207,Via Care 507 Community Health Center,507 S Atlantic Blvd,Los Angeles,CA,90022-2621,323-268-9191,viacarela.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.15540915,34.02684439
16210,NORTH EAST MEDICAL SERVICES - EASTMOOR,211 Eastmoor Ave,Daly City,CA,94015-2036,415-391-9686,http://www.nems.org/,All Other Clinic Types,Permanent,Service Delivery Site,-122.47870146,37.68472826
16211,Estill Medical Center,777 2nd St E,Estill,SC,29918-4926,803-625-2548,www.bjhchs.org,All Other Clinic Types,Permanent,Service Delivery Site,-81.23317103,32.75251471
16212,SCENIC RIVERS HEALTH SERVICES,135 Pine Tree Dr,Bigfork,MN,56628-4346,218-743-3232,www.scenicrivershealthservices.org,All Other Clinic Types,Permanent,Service Delivery Site,-93.64975773,47.7473408
16213,Palms Medical Group - Fleming Island,2349 Village Square Pkwy STE 110-111,Fleming Island,FL,32003-6355,352-463-2374,,All Other Clinic Types,Permanent,Service Delivery Site,-81.7096254,30.0802865
16214,Fort Totten DC/Briya PCS/Bridges PCS,100 Gallatin St NE,Washington,DC,20011-7533,202-483-8196,www.maryscenter.org,All Other Clinic Types,Permanent,Service Delivery Site,-77.00748132,38.95286994
16215,Willow Street Health Center,790 Willow St BLDG,Reno,NV,89502-1304,800-782-2568,,All Other Clinic Types,Permanent,Service Delivery Site,-119.80194713,39.52468144
16217,MVA Health Center - Fairmont,1322 Locust Ave,Fairmont,WV,26554-1436,304-366-0700,www.mvahealth.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-80.16430202,39.48068374
16219,LCHD North Ridgeville,35557 Center Ridge Rd,North Ridgeville,OH,44039-3019,440-240-1655,,All Other Clinic Types,Permanent,Service Delivery Site,-82.01357727,41.39148496
16221,Women's Lunch Place,67 Newbury Street,Boston,MA,02116-3090,617-267-0200,,All Other Clinic Types,Permanent,Service Delivery Site,-71.0741826,42.35214063
16222,"Covenant Michigan Avenue Clinic: Suites 1100, 2100, 2300, 5728",5716 Michigan Ave,Detroit,MI,48210-3039,313-554-1095,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-83.11377599,42.33118562
16223,Omni Family Health,4600 Panama Ln UNIT 102B,Bakersfield,CA,93313-3511,866-707-6664,www.OmniFamilyHealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.05431012,35.29596129
16224,Rising Sun Health Center,5675 N Front St,Philadelphia,PA,19120-2719,215-279-9666,,All Other Clinic Types,Permanent,Service Delivery Site,-75.12077518,40.03808261
16225,Andrews Healthcare Annex,411 E Main St,Andrews,SC,29510-4011,843-264-1223,www.stjamessanteefhc.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-79.55318165,33.44828209
16229,79 Paris Street,79 Paris St,Boston,MA,02128-3053,617-569-5800,www.ebnhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.03841098,42.37155047
16230,Edward M. Kennedy Community Health Center Milford,42 Cape Rd,Milford,MA,01757-3292,800-853-2288,www.kennedychc.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.51962224,42.12731686
16231,"Las Clinicas del Norte, Inc. @ Abiquiu",21124 US Highway 84,Abiquiu,NM,87510-5503,505-685-4479,www.lcdn.org,All Other Clinic Types,Permanent,Service Delivery Site,-106.31055715,36.20771454
16232,Clover Fork Evarts,101 Chad St,Evarts,KY,40828,606-837-2108,http://www.cloverforkclinic.org/,All Other Clinic Types,Permanent,Service Delivery Site,-83.19227967,36.86451358
16234,Lamprey Health Care - Raymond Center,128 Route 27,Raymond,NH,03077-1220,603-659-2494,WWW.LAMPREYHEALTH.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-71.18841997,43.04104015
16237,Robert Clewis Center,2124 4th Ave,Seattle,WA,98121-2308,206-521-1855,,All Other Clinic Types,Permanent,Service Delivery Site,-122.34225824,47.61439478
16239,DODSON AVENUE COMM HEALTH CENTER,1200 Dodson Ave,Chattanooga,TN,37406-3214,423-778-2800,http://www.erlanger.org/body.cfm?id=722,All Other Clinic Types,Permanent,Service Delivery Site,-85.26196297,35.05055509
16240,CareSouth Carolina Dillon Center,1016 Old Latta Hwy,Dillon,SC,29536-7614,843-774-4356,www.caresouth-carolina.com,All Other Clinic Types,Permanent,Service Delivery Site,-79.38080022,34.40832257
16243,Howard Brown Health at La Casa Norte,3533 W North Ave STE 1,Chicago,IL,60647-7573,773-388-1600,,All Other Clinic Types,Permanent,Service Delivery Site,-87.71575012,41.90998551
16244,Outside In 1226,1226 SW 12th Ave,Portland,OR,97205-2029,503-535-3800,,All Other Clinic Types,Permanent,Service Delivery Site,-122.68599707,45.51701584
16245,Mountainburg Family Clinic,4 Highway 71 NE,Mountainburg,AR,72946-3189,479-369-2091,www.rvpcs.org/,All Other Clinic Types,Permanent,Service Delivery Site,-94.16890177,35.63328151
16247,LifeLong Medical Care - Howard J Daniel Clinic,9933 Macarthur Blvd,Oakland,CA,94605-4853,510-568-3206,WWW.LIFELONGMEDICAL.ORG,All Other Clinic Types,Permanent,Service Delivery Site,-122.15664468,37.74646345
16248,Grace Health Levi Center Clinic,934 S Laurel Rd STE 1,London,KY,40744-8303,606-526-8604,,All Other Clinic Types,Permanent,Service Delivery Site,-84.06597578,37.09459043
16250,HCHC - City of Industry,1661 Hanover Rd STE 103,City Of Industry,CA,91748-5705,626-286-8700,,All Other Clinic Types,Permanent,Service Delivery Site,-117.92098905,33.99109766
16251,Omni Family Health,2505 Merced St,Fresno,CA,93721-1811,866-707-6664,www.OmniFamilyHealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-119.78803192,36.74078313
16254,Western Sierra Medical Clinic - Education Street,11720 Education St STE 3,Auburn,CA,95602-2419,530-537-3000,wsmcmed.org,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-121.10194587,38.9443732
16257,CARACOLE CLINIC,4138 Hamilton Ave,Cincinnati,OH,45223-2293,513-386-7899,,All Other Clinic Types,Permanent,Service Delivery Site,-84.53938835,39.16134409
16258,Western Wayne Family Health Center,26650 Eureka Rd,Taylor,MI,48180-4835,,wwfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-83.29780545,42.19669547
16261,Shoreline Family Health Care,221 W Main St,Branford,CT,06405-4022,203-777-7411,,All Other Clinic Types,Permanent,Service Delivery Site,-72.85524692,41.27786583
16264,Wimauma Community Health Center,16621 Lagoon Shore Blvd,Wimauma,FL,33598,813-349-7880,,All Other Clinic Types,Permanent,Service Delivery Site,-82.32468121,27.70924479
16267,BORREGO HEALTH ESCONDIDO PEDIATRICS,"1111 E Washington Ave, Ste A",Escondido,CA,92025-2226,760-466-8700,,All Other Clinic Types,Permanent,Service Delivery Site,-117.06966278,33.13209139
16268,OHIO HILLS HEALTH SERVICES,101 E Main St,Barnesville,OH,43713-1005,740-425-5165,ohiohillshealthservices.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-81.17720029,39.98787685
16269,UCFS Health Center - Norwich,47 Town St,Norwich,CT,06360-2323,860-892-7042,www.ucfs.org,All Other Clinic Types,Permanent,Service Delivery Site,-72.09192338,41.54687144
16270,CHCCMO Linn,316 W Main St,Linn,MO,65051-2516,573-632-2777,www.chccmo.org,All Other Clinic Types,Permanent,Service Delivery Site,-91.85753011,38.49250082
16273,MCHWC MAT Clinic,630 Drake Ave,Sausalito,CA,94965-1107,415-339-8813,www.marincityclinic.com,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-122.51508294,37.87340482
16274,WellSpace Health -  North Highlands Community Health Center,6015 Watt Ave,North Highlands,CA,95660-4294,999-999-9999,,All Other Clinic Types,Permanent,Service Delivery Site,-121.38299955,38.67662219
16276,Horizon Health - Yankton,920 Broadway Ave,Yankton,SD,57078,605-260-0310,,All Other Clinic Types,Permanent,Service Delivery Site,-97.39671259,42.87785363
16277,LIfeLong Nova Apartments - Supportive Housing Program,445 30th St,Oakland,CA,94609-3337,510-981-4100,,All Other Clinic Types,Permanent,Service Delivery Site,-122.26567505,37.81916108
16278,Greenwood Clinic,201 E Washington St,Greenwood,MS,38930-4407,662-453-4522,www.mallorychc.org,All Other Clinic Types,Permanent,Service Delivery Site,-90.17985565,33.5200552
16280,DAVIS COMMUNITY CLINIC,2051 John Jones Rd,Davis,CA,95616-9701,530-758-2060,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-121.76924737,38.56364562
16283,"Shawnee Health Care, Same Day",404 S Lewis Ln,Carbondale,IL,62901-3547,618-519-9200,www.shawneehealth.com,All Other Clinic Types,Permanent,Service Delivery Site,-89.19943274,37.72336871
16285,Clarity Healthcare,1805 E Walnut St,Columbia,MO,65201-6425,573-476-0030,,All Other Clinic Types,Permanent,Service Delivery Site,-92.31095436,38.95305673
16286,Panhandle Counseling and Health Center Clinic,3247 US-54,Guymon,OK,73942-4571,580-338-7270,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-101.45525544,36.6986838
16287,GOOD SHEPHERD CENTER,260 Park St,Lawrence,MA,01841-2412,978-725-7400,www.glfhc.org,All Other Clinic Types,Permanent,Service Delivery Site,-71.17183353,42.71596489
16288,Taylor Clinic,8400 S Palm Dr,Pembroke Pines,FL,33025-4536,954-342-0355,,Hospital,Permanent,Service Delivery Site,-80.25164162,25.9975589
16289,San Ysidro Health Alpine Family Medicine,1620 Alpine Blvd,Alpine,CA,91901-1102,619-662-4100,,All Other Clinic Types,Permanent,Service Delivery Site,-116.77995764,32.83782121
16290,Lebanon Dental,101 S 9th St,Lebanon,PA,17042-5108,717-450-7015,www.welshmountain.org,All Other Clinic Types,Permanent,Service Delivery Site,-76.42608376,40.33769181
16291,HealthSource Mt. Orab,150 Health Partners Cir,Mount Orab,OH,45154-8610,937-444-2514,www.healthsourceofohio.com,All Other Clinic Types,Permanent,Service Delivery Site,-83.94211505,39.04530607
16292,SARDIS CITY MEDICAL CENTER,1989 Sardis Dr,Boaz,AL,35956-2344,256-593-2371,www.qolhs.org,All Other Clinic Types,Permanent,Service Delivery Site,-86.10994763,34.17956035
16294,HealthLinc -East Chicago Harbor,2323 Broadway St,East Chicago,IN,46312-2264,888-580-1060,www.healthlincchc.org,All Other Clinic Types,Permanent,Service Delivery Site,-87.44351398,41.64610029
16295,Hurley Family Health Center,10279 Hurley Rd,Hurley,VA,24620,276-566-4675,,All Other Clinic Types,Permanent,Service Delivery Site,-82.02087991,37.42215974
16297,Minor Care Clinic,123 S 27th Ave,Hattiesburg,MS,39401-7136,601-450-3030,,All Other Clinic Types,Permanent,Service Delivery Site,-89.33013401,31.32311927
16300,Community Action Health Center,"700 Flournoy Rd, Ste 2A",Alice,TX,78332-4088,361-664-1417,www.cacost.org,All Other Clinic Types,Permanent,Service Delivery Site,-98.04724014,27.75831517
16302,CHP Lee Family Practice,11 Quarry Hill Rd,Lee,MA,01238-9645,413-243-0536,https://www.chpberkshires.org/,All Other Clinic Types,Permanent,Service Delivery Site,-73.2530818,42.28165884
16303,AHS Family Health Center,6301 N Western Ave,Chicago,IL,60659-2009,800-597-5077,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-87.68977511,41.9962894
16304,Benevolence Health Center,611 E Imperial Hwy STE 107,Los Angeles,CA,90059-2359,323-732-0100,www.bhchealth.org,All Other Clinic Types,Permanent,Service Delivery Site,-118.264661,33.93106748
16305,OPTIMUS at Hall Neighborhood House,52 George E Pipkins Way,Bridgeport,CT,06608-2425,203-696-3260,,All Other Clinic Types,Permanent,Service Delivery Site,-73.17919297,41.18377901
16306,Variety Care - Putnam North,11220 N Rockwell Ave,Oklahoma City,OK,73162-2725,405-632-6688,www.varietycare.org,All Other Clinic Types,Permanent,Service Delivery Site,-97.63844525,35.58352817
16307,EHMC Adult Medicine/Behavioral Health,144 Genesee St STE 401,Auburn,NY,13021-3511,315-253-8477,,All Other Clinic Types,Permanent,Service Delivery Site,-76.56851585,42.93019732
16308,Rohnert Park Community Acupuncture,6040 Commerce Blvd STE 108,Rohnert Park,CA,94928-2181,707-559-7500,,All Other Clinic Types,Permanent,Service Delivery Site,-122.71014743,38.35194582
16309,Good Samaritan Clinic,500 E Parker Rd,Morganton,NC,28655-5113,828-212-4185,,All Other Clinic Types,Permanent,Administrative/Service Delivery Site,-81.65375415,35.72963648
16310,St. George Canaan Valley Clinic,6368 Appalachian Hwy,Davis,WV,26260-8271,304-478-3339,https://www.stgeorgeclinic.org/,All Other Clinic Types,Permanent,Service Delivery Site,-79.44602607,39.04688737
